10X438,Business and Technology,X52A
10X439,Bronx High School for Law and Community Service,X53A
10X440,Health Professions,X10A
10X440,Business Enterprise,X10E
10X440,Macy Honors Gifted program in the Sciences and Humanities,X10J
10X442,Concert Band/Piano,X33A
10X442,Chorus,X33B
10X442,Strings,X33M
10X477,International Studies,X43A
10X477,International Academy,X43B
11X508,Bronxdale High School,Y53A
10X524,Digital Media/Recording Entertainment Technology,Y56A
10X546,Theatre Design and Technology,X38A
10X546,Performance and Production,X38B
10X549,Discovery High School,X39A
10X565,Building Operations and Technology,Y65A
11X249,Bronx Health Sciences High School,X88X
11X253,Bronx High School for Writing & Communication Arts,X76X
11X265,Bronx Lab School,X64X
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,X02R
11X275,High School of Computers and Technology,X01X
11X288,Collegiate Institute for Math and Science,X29J
11X290,Bronx Academy of Health Careers,X22A
11X299,Science & Technology,X17B
11X418,Visual Art,X35A
11X418,Graphic Design,X35B
11X455,Law and Legal Studies/Law Enforcement Academy,X25B
11X455,Computer Technology,X25C
11X455,Culinary Arts,X25D
11X455,Multimedia Communication and Production,X25E
11X455,Air Force Junior ROTC,X25F
11X455,Pre-Engineering and Applied Mathematics,X25H
11X455,Zoned,X25Z
11X509,High School of Language and Innovation,Y52A
11X513,New World High School,X87R
11X514,The Bronxwood Preparatory Academy,X85R
11X542,Pelham Preparatory Academy,X45A
11X544,Arts Lab Studio Creative Writing & Performing Arts,X48A
11X544,"Arts Lab-Studio II Visual, Audio & Media Arts",X48B
11X545,Bronx Aerospace High School,X30A
12X242,Mott Hall V High School,Y45A
12X248,The Metropolitan High School,X77R
12X251,Explorations Academy,X08R
12X267,Bronx Latin,Y35A
12X271,East Bronx Academy for the Future,X83X
12X278,Peace and Diversity Academy,X84X
12X372,Urban Assembly School for Wildlife Conservation,Y38A
12X388,Pan American International High School at Monroe,Y26A
12X478,The Cinema School,Y42A
12X479,Bronx Career and College Preparatory High School,Y43A
12X511,Bronx Envision,Y54A
12X521,The Metropolitan Soundview High School,Y55A
12X682,Fannie Lou Hamer Freedom High School,X91A
12X684,Academy For Excellence,X93A
12X684,Dance,X93P
12X692,Monroe Academy of Visual Design,X75A
13K265,Visual Arts,K42A
13K265,Vocal Music,K42B
13K265,Dance,K42C
13K265,Drama,K42D
13K265,Instrumental Music,K42E
13K350,The Urban Assembly School of Music and Art,L02R
13K412,"Brooklyn Community High School of Communications, Arts and Media",L25A
13K419,Science Skills Center,K78A
13K419,Gateway Honors,K78B
13K419,Project Lead the Way,K78C
13K419,Humanities and the Arts,K78D
13K439,Brooklyn International High School,K53A
13K483,Urban Assembly School for Law and Justice,K08X
13K499,Law and Leadership Institute,K85A
13K499,Science and Health Institute,K85D
13K527,The Urban Assembly Institute of Math and Science for Young Women,L54A
13K595,Technology,K95A
13K595,Health Professions,K95B
13K605,Multimedia Internet Technology,K70C
13K605,Culinary Arts,K70D
13K605,Electrical Installation and Practice,K70E
13K605,Computer Information Systems and Repair,K70I
13K670,Humanities,K71B
13K670,Media Communication,K71E
13K670,Pre-Engineering,K71J
13K670,Pre-Medicine,K71K
13K674,"City Polytechnic High School of Engineering, Architecture and Technology",L59A
14K071,Visual Art and Design,K11A
14K071,Instrumental Music,K11B
14K071,Dance,K11C
14K071,Juan Morel Campos Secondary School,K11X
14K322,Foundations Academy,K18R
14K454,Green School: An Academy for Environmental Careers,L27A
14K474,Medical Professions,K87A
14K474,Gateway: Mathematics and Science Institute,K87G
14K474,Instrumental Music,K87H
14K474,Fine Art,K87I
14K477,Legal Studies,K86A
14K477,Computer Forensics Program,K86B
14K478,Computer Science/Networking,K88A
14K478,Business & Finance,K88B
14K478,Gateway: Mathematics and Science Institute for Pre-College Education,K88C
14K488,Brooklyn Preparatory High School,K07X
14K558,Architecture and Design,K09X
14K561,Williamsburg Preparatory School,K39X
14K586,Lyons Community School,L39A
14K610,Automotive Service Center Specialist,K60J
14K610,"Automotive Business Technology, Computer Repair & Electronics",K60L
14K610,Engineering,K60R
14K610,Mechanical Engineering,K60S
14K614,The Young Womenâs Leadership School of Brooklyn,L66A
14K632,Frances Perkins Academy,L47A
14K685,El Puente Academy for Peace and Justice,K75A
15K423,Brooklyn Frontiers High School,L69A
15K429,Brooklyn School for Global Studies,K79A
15K448,Brooklyn Secondary School for Collaborative Studies,K03R
15K462,Secondary School for Law,K22A
15K463,Secondary School for Journalism,K29A
15K464,College Preparatory,K27A
15K497,Honors Institute,K21A
15K497,International Culinary Institute,K21B
15K519,American Studies,K91A
15K519,Pre-Law Institute,K91B
15K592,Khalil Gibran International Academy,L61A
15K656,Art,K47J
15K656,Instrumental Music,K47K
15K656,Dance,K47L
15K656,Vocal Music,K47M
17K537,Media,K06C
17K539,High School for Service & Learning,K30X
15K656,Drama,K47R
15K667,Sunset Park High School,L58A
15K684,Millennium Brooklyn,L63A
16K393,Frederick Douglass Academy IV Secondary School,K33R
16K455,Smart Scholars Early College Program,K10E
16K455,Institute for Computer and Technology,K10S
16K455,Zoned,K10Z
16K498,Academy for Social Justice,K49B
16K498,Computer Technology,K49D
16K594,Gotham Professional Arts Academy,L35A
16K688,Brooklyn Academy of Global Finance,L57A
17K122,Pathways in Technology Early College High School,L67A
17K382,Academy for College Preparation and Career Exploration,L21A
17K408,Academy of Hospitality and Tourism,L24A
17K524,International High School at Prospect Heights,K98X
17K528,High School for Global Citizenship,K32A
17K528,College Preparatory,K32P
17K531,The School for Human Rights,K04X
17K533,Math/Science Leadership,K01J
17K533,Law and Leadership,K01X
17K537,Arts,K06B
18K617,High School for Innovation in Advertising and Media,L48A
17K543,Early College,K14A
17K546,Law Academy â HSPS,K64A
17K546,Medical Academy â HSPS,K64B
17K546,Public Service Academy: Social Action & Leadership,K64C
17K547,Science Exploration Program,K41A
17K548,Performing and Visual Arts,K48A
17K590,Math and Technology,K77A
17K590,Science and Research,K77B
17K600,Health Career Professions,K50A
17K600,Bilingual Haitian Creole Program,K50B
17K600,Dual Language Russian Program,K50C
17K600,Gateway Honors Health Professions,K50J
17K745,Brooklyn Institute for Liberal Arts,L17A
17K751,Academy for Health Careers,L64A
18K563,It Takes a Village Academy,L36A
18K566,Brooklyn Generation School,L32A
18K567,Brooklyn Theatre Arts High School,L33A
18K569,Kurt Hahn Expeditionary Learning School,L37A
18K576,Victory Collegiate High School,L41A
18K589,Arts & Media Preparatory,L31A
18K637,Academy for Conservation and the Environment,L44A
18K642,Urban Action Academy,L50A
19K404,Academy for Young Writers,L22A
19K409,East New York Family Academy,K45A
19K502,FDNY High School for Fire and Life Safety,K62X
19K504,High School for Civil Rights,K63X
19K507,Dance,K61D
19K507,Music,K61M
19K507,Liberal Arts and Arts Technology,K61T
19K510,CNA Certified Nursing Assitant Program with Phlebotomy and EKG Techician,K65A
19K510,Medical Science,K65X
19K583,Multicultural High School,L40A
19K615,Transit Electronics Technology and Networking,K69K
19K615,Transit Industrial Electrician,K69L
19K615,Transit Technician Technology,K69M
19K615,Computer Networking,K69N
19K615,Computer Engineering,K69P
19K615,Information Technology,K69R
19K618,Academy of Innovative Technology,L51A
19K639,Brooklyn Lab School,L46A
19K659,Cypress Hills Collegiate Preparatory School,L56A
19K660,Design Technology,K68A
19K660,Medical Careers,K68C
19K660,Beauty Science & Technology,K68J
19K683,"School for Classics: An Academy of Thinkers, Writers and Performers",L53A
20K445,Medical & Health Careers,K28A
20K445,Legal Studies Academy,K28B
20K445,Academy of Hospitality & Tourism,K28C
20K445,Academy of Art & Design,K28D
20K445,Honors Academy,K28H
20K445,Academy of Business and Technology,K28M
20K445,New Utrecht Dual Language and Asian Studies Chinese (Mandarin),K28N
20K445,Zoned,K28Z
20K485,Telecommunication Arts and Technology,K59A
20K490,Honors Academy,K17H
20K490,Joffrey Ballet Dance Academy,K17J
20K490,Instrumental Music,K17R
20K490,Vocal Music,K17S
20K490,Zoned,K17Z
20K505,Business Careers/Computer Technology,K16A
20K505,Math/Science Academy,K16C
20K505,Performing Arts,K16D
20K505,Zoned,K16Z
20K609,The Urban Assembly School for Criminal Justice,L62A
21K337,International High School,K38R
21K344,Rachel Carson High School for Coastal Studies,L01R
21K348,High School of Sports Management,K97R
21K410,Veterinary Sciences And Animal Care,K24A
21K410,Virtual Enterprise,K24B
21K410,Institute for Professions in Science,K24J
21K410,Professional Photography,K24L
21K410,Honors Institute for American Studies - Gilder Lehrman,K24M
21K410,Zoned,K24Z
21K468,Kingsborough Early College,L55A
21K525,Communication Arts,K57A
21K525,Bilingual Chinese (Mandarin) Communication Arts,K57B
21K525,Bilingual Spanish Communication Arts,K57C
21K525,Vocal Music,K57J
21K525,Fine and Visual Arts,K57K
21K620,Information Technology,K67E
25Q285,World Journalism Preparatory,Q85A
21K525,Instrumental Music,K57L
21K525,Studio Theatre,K57P
21K540,College Preparatory International Program,K56A
21K540,Bilingual Chinese (Mandarin) College Preparatory Program,K56B
21K540,Health Careers Exploration Program,K56D
21K540,Computer Science Institute,K56J
21K540,Pre-Med and Health Careers,K56L
21K540,Visual and Media Arts,K56M
21K540,STEM â Robotics/Space Science,K56S
21K540,Theatre Arts and Dance,K56T
21K559,Life Academy High School for Film and Music,L38A
21K572,Expeditionary Learning School for Community Learners,L34A
21K620,Culinary Arts,K67A
21K620,Health Career Profession,K67H
21K620,Air Conditioning and Refrigeration,K67M
21K620,Automotive Technology,K67N
21K620,Gateway Honors Academy,K67Q
21K620,Construction Technology Academy,K67R
21K690,Instrumental Music for New Students,K90H
21K690,Digital Communications and Media for New Students,K90J
21K690,Brooklyn Studio Secondary School for Current Students,K90K
22K405,Liberal Arts and Science Institute,K26H
22K405,Humanities Institute,K26J
22K405,Medical Science Institute,K26K
22K405,Bilingual Haitian Creole Institute,K26L
22K425,Information Technology,K25B
22K425,Law Institute,K25D
22K425,Zoned,K25Z
22K535,Leon M. Goldstein High School for the Sciences,K76A
22K555,Brooklyn College Academy,K84X
23K493,Brooklyn Collegiate: A College Board School,K93X
23K514,Frederick Douglass Academy VII High School,K80X
23K644,Eagle Academy for Young Men II,L65A
23K697,Teachers Preparatory High School for New Students,K20A
23K697,Teachers Preparatory High School for Current Students,K20B
24Q264,Academy of Finance and Enterprise,Q08R
24Q267,High School of Applied Communication,Q07R
24Q293,Civic Leadership Academy,Q76A
24Q296,Pan American International High School,Q03A
24Q299,Bard High School Early College Queens,Q74B
24Q455,Business Institute,Q34A
24Q455,Pre-Engineering & Computer Technology,Q34J
24Q455,Major Art,Q34K
24Q455,Zoned,Q34Z
24Q485,Academy of Information Technology (AoIT),Q23A
24Q485,"Academy of Business, Hospitality & Tourism",Q23B
24Q485,Academy of Arts and Humanities,Q23H
24Q485,Math/Science Institute,Q23J
24Q485,Academy of Allied Health and Athletic Sciences,Q23S
24Q485,Zoned,Q23Z
24Q520,Middle College High School at LaGuardia Community College,Q30J
24Q530,International High School at LaGuardia Community College,Q27J
24Q550,Arts and Business,Q99A
24Q560,Arts and Technology for New Students,Q31J
24Q560,Arts and Technology for Current Students,Q31K
24Q585,Maspeth High School,Q47A
24Q600,Careers in Business,Q68A
24Q600,Graphic Arts,Q68B
24Q600,School of Skilled Building Trades,Q68C
24Q600,Pre-Engineering Electronic Technology,Q68L
24Q600,Exploratory: Introduction to Occupations,Q68M
24Q600,Computer Technology and Information Systems,Q68N
24Q600,Cosmetology Careers/Salon Management,Q68O
24Q610,Aerospace Engineering Technology,Q60A
24Q610,Aviation Maintenance Technology,Q60Q
25Q252,Queens School of Inquiry,Q77A
25Q263,Flushing International High School,Q25X
25Q281,East-West School of International Studies,Q82A
25Q285,Franklin Center Science and Technology,Q85F
25Q425,Center for Writing,Q14A
25Q425,Introduction to Agriculture,Q14B
25Q425,Science???? Technology???? Engineering and Math (S.T.E.M.) Research Program,Q14H
25Q425,Zoned,Q14Z
25Q460,Thurgood Marshall Law Academy,Q18A
25Q460,Academy of Health Sciences,Q18B
25Q460,Academy of Business Entrepreneurship,Q18C
25Q460,Zoned,Q18Z
25Q525,Intensive Academic Humanities,Q37J
25Q670,Community Service and Learning,Q70A
26Q415,Mentor Law and Humanities Institute,Q16A
26Q415,School of Journalism and Media Studies,Q16B
26Q415,DaVinci Science/Math Research Institute,Q16J
26Q415,Performing Dance,Q16K
26Q415,Zoned,Q16Z
26Q430,Jacob K. Javits Law Institute,Q20A
26Q430,University Scholars,Q20J
26Q430,Math and Science Research,Q20K
26Q430,Zoned,Q20Z
26Q435,Pre-Med Program,Q38K
26Q435,Engineering-Robotics Program,Q38L
26Q435,Law and Forensics Program,Q38M
26Q435,Computer Technology Program,Q38N
26Q435,Zoned,Q38Z
26Q495,Digital Art & Design,Q12A
27Q400,Culinary Arts Academy,Q50H
27Q400,Medical/Technology Academy,Q50J
26Q495,Music: Performance & Production,Q12B
26Q495,Environmental Engineering & Technology,Q12C
26Q495,Humanities & Non-Profit Management,Q12D
26Q495,Computer Programming & Web Design,Q12E
26Q495,International & Cultural Relations,Q12F
27Q475,Choices Academy,Q35B
26Q495,Sports Medicine & Management,Q12G
26Q495,Zoned,Q12Z
26Q566,Teaching Institute,Q32A
27Q260,Frederick Douglass Academy VI High School,Q75X
27Q262,Channel View School for Research,Q97X
27Q302,"Queens High School for Information, Research and Technology",Q06A
27Q302,Gateway to Engineering â Information Technology,Q06B
27Q302,Gateway to Engineering â Pre-Engineering,Q06C
27Q308,Robert H. Goddard High School of Communication,Q02A
27Q309,Academy of Medical Technology: A College Board School,Q11A
27Q323,Scholars' Academy,Q72A
27Q324,Rockaway Park High School for Environmental Sustainability,Q36A
27Q324,The Green Carpentry Program,Q36G
27Q351,Rockaway Collegiate High School,Q48A
27Q400,Aerospace and Technology Academy,Q50A
27Q400,Communication Arts Academy,Q50B
27Q400,Business and Law Scholars Academy,Q50C
27Q475,Criminology and Forensics Institute (CFI),Q35P
27Q475,Zoned,Q35Z
27Q480,Environmental and Science Research Institute,Q10A
27Q480,Law and International Studies Institute,Q10B
27Q480,Health Careers,Q10C
27Q480,Media & Communication Arts Institute,Q10D
27Q480,Business Institute,Q10E
27Q480,STEM Engineering Academy,Q10F
27Q480,Art History & Fine Arts,Q10G
27Q480,Zoned,Q10Z
27Q650,Construction Trades & Management,Q83A
27Q650,Architectural Design,Q83B
27Q650,Academy of Engineering,Q83C
28Q167,Metropolitan Expeditionary Learning School,Q49A
28Q284,York Early College Academy,Q43A
28Q310,Queens Collegiate: A College Board School,Q05A
28Q325,Hillside Arts & Letters Academy,Q46A
28Q328,High School for Community Leadership,Q33A
28Q350,Jamaica Gateway to the Sciences,Q26G
29Q492,Science Research,Q55A
28Q440,Carl Sagan Science/Math Honors Academy,Q19J
28Q440,Law & Humanities Institute,Q19M
28Q440,Drama Academy,Q19N
28Q440,Academy of Instrumental Music/Performing Arts,Q19P
28Q440,Zoned,Q19Z
28Q505,Health Sciences Institute,Q24A
28Q505,Teachers of Tomorrow,Q24B
28Q505,"The Academy of Media, Arts and Music",Q24H
28Q505,Pre-Med Program,Q24J
28Q505,Theatre Arts,Q24L
28Q505,Academy of Public Service and Law,Q24P
31R080,Comprehensive Academic for New Students,R15J
28Q505,Biz/Tech,Q24T
28Q505,Zoned,Q24Z
28Q620,Commercial Art/Graphic Communications/Web Design,Q67I
28Q620,Information Technologies,Q67K
28Q620,CAD/Mechanical Technology,Q67M
28Q620,Electrical Installation Technologies,Q67N
28Q620,Automotive Technologies,Q67P
28Q620,Robotics/STEM,Q67S
28Q620,Medical-Pharmaceutical,Q67V
28Q680,Queens Gateway to Health Sciences,Q57A
28Q686,Zoned,Q39Z
28Q690,Law Enforcement and Public Safety,Q21A
28Q896,"The Young Women's Leadership School, Queens",Q89A
29Q248,Queens Preparatory Academy,Q04R
29Q259,"Pathways College Preparatory School, A College Board School",Q09R
29Q265,Excelsior Preparatory High School,Q42X
29Q272,Veterinary Science Institute,Q45A
29Q272,Carver Research Institute,Q45C
29Q283,Preparatory Academy for Writers,Q84A
29Q326,Cambria Heights Academy,Q44A
