13K483,The Urban Assembly School for Law and Justice,11201,BROOKLYN 
15K519,Cobble Hill School of American Studies,11201,BROOKLYN 
15K423,Brooklyn Frontiers High School,11201,BROOKLYN 
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",11201,BROOKLYN 
13K605,George Westinghouse Career and Technical Education High School,11201,BROOKLYN 
09X413,Bronx High School for Medical Science,10457,BRONX    
09X324,Bronx Early College Academy for Teaching & Learning,10456,BRONX    
09X329,DreamYard Preparatory School,10457,BRONX    
09X227,Bronx Collegiate Academy,10457,BRONX    
07X527,Bronx Leadership Academy II High School,10451,BRONX    
07X547,New Explorers High School,10451,BRONX    
09X564,Claremont International HS,10457,BRONX    
07X548,Urban Assembly School for Careers in Sports,10451,BRONX    
09X350,New Directions Secondary School,10457,BRONX    
09X505,"Bronx School for Law, Government and Justice",10451,BRONX    
09X412,Bronx High School of Business,10457,BRONX    
02M630,Art and Design High School,10019,MANHATTAN
18K569,Kurt Hahn Expeditionary Learning School,11203,BROOKLYN 
18K563,It Takes a Village Academy,11203,BROOKLYN 
18K629,Cultural Academy for the Arts and Sciences,11203,BROOKLYN 
04M409,Coalition School for Social Change,10035,MANHATTAN
04M435,Manhattan Center for Science and Mathematics,10029,MANHATTAN
04M372,Esperanza Preparatory Academy,10029,MANHATTAN
04M680,"Heritage School, The",10029,MANHATTAN
04M555,Central Park East High School,10029,MANHATTAN
04M610,Young WomenÂ’s Leadership School (TYWLS),10029,MANHATTAN
04M495,Park East High School,10029,MANHATTAN
19K409,East New York Family Academy,11207,BROOKLYN 
19K683,"The School for Classics: An Academy of Thinkers, Writers and Performers",11208,BROOKLYN 
19K615,Transit Tech Career and Technical Education High School,11208,BROOKLYN 
19K660,W. H. Maxwell Career and Technical Education High School,11207,BROOKLYN 
19K404,Academy for Young Writers,11208,BROOKLYN 
19K504,High School for Civil Rights,11207,BROOKLYN 
19K502,FDNY Â– Captain Vernon A. Richards High School for Fire and Life Safety,11207,BROOKLYN 
19K507,Performing Arts and Technology High School,11207,BROOKLYN 
19K510,World Academy for Total Community Health High School (WATCH),11207,BROOKLYN 
12X372,Urban Assembly School for Wildlife Conservation,10460,BRONX    
12X684,Wings Academy,10460,BRONX    
01M450,East Side Community School,10009,MANHATTAN
14K454,Green School: An Academy for Environmental Careers,11206,BROOKLYN 
14K586,Lyons Community School,11206,BROOKLYN 
14K449,"Brooklyn Latin School, The",11206,BROOKLYN 
24Q455,Newtown High School,11373,QUEENS   
24Q236,International High School for Health Sciences,11373,QUEENS   
24Q296,Pan American International High School,11373,QUEENS   
24Q293,Civic Leadership Academy,11373,QUEENS   
27Q260,Frederick Douglass Academy VI High School,11691,QUEENS   
27Q309,Academy of Medical Technology: A College Board School,11691,QUEENS   
27Q302,"Queens High School for Information, Research, and Technology",11691,QUEENS   
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),10463,BRONX    
22K405,Midwood High School,11210,BROOKLYN 
