10X213,Bronx Engineering & Technology Academy (BETA),X61X,2014
10X225,Theatre Arts Production Company School,X20R,2014
10X237,"The Marie Curie High School for Nursing, Medicine, & Allied Health Professions",X62X,2014
10X243,West Bronx Academy for the Future,X59X,2014
10X268,Kingsbridge International High School,X86R,2014
10X284,Bronx School of Law and Finance,X28A,2014
10X342,International School for Liberal Arts,Y24A,2014
10X368,Information and Network Technology Academy,X78A,2014
10X434,College and University Transitional Seminar,X42A,2014
10X437,Fordham High School for the Arts,X51A,2014
10X438,Business and Technology,X52A,2014
10X439,Bronx High School for Law and Community Service,X53A,2014
10X440,Health Professions,X10A,2014
10X440,Business Enterprise,X10E,2014
10X440,Macy Honors Gifted program in the Sciences and Humanities,X10J,2014
10X442,Concert Band/Piano,X33A,2014
10X442,Chorus,X33B,2014
10X442,Strings,X33M,2014
10X477,International Studies,X43A,2014
10X477,International Academy,X43B,2014
11X508,Bronxdale High School,Y53A,2014
10X524,Digital Media/Recording Entertainment Technology,Y56A,2014
10X546,Theatre Design and Technology,X38A,2014
10X546,Performance and Production,X38B,2014
10X549,Discovery High School,X39A,2014
10X565,Building Operations and Technology,Y65A,2014
11X249,Bronx Health Sciences High School,X88X,2014
11X253,Bronx High School for Writing & Communication Arts,X76X,2014
11X265,Bronx Lab School,X64X,2014
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,X02R,2014
11X275,High School of Computers and Technology,X01X,2014
11X288,Collegiate Institute for Math and Science,X29J,2014
11X290,Bronx Academy of Health Careers,X22A,2014
11X299,Science & Technology,X17B,2014
11X418,Visual Art,X35A,2014
11X418,Graphic Design,X35B,2014
11X455,Law and Legal Studies/Law Enforcement Academy,X25B,2014
11X455,Computer Technology,X25C,2014
11X455,Culinary Arts,X25D,2014
11X455,Multimedia Communication and Production,X25E,2014
11X455,Air Force Junior ROTC,X25F,2014
11X455,Pre-Engineering and Applied Mathematics,X25H,2014
11X455,Zoned,X25Z,2014
11X509,High School of Language and Innovation,Y52A,2014
11X513,New World High School,X87R,2014
11X514,The Bronxwood Preparatory Academy,X85R,2014
11X542,Pelham Preparatory Academy,X45A,2014
11X544,Arts Lab Studio Creative Writing & Performing Arts,X48A,2014
11X544,"Arts Lab-Studio II Visual, Audio & Media Arts",X48B,2014
11X545,Bronx Aerospace High School,X30A,2014
12X242,Mott Hall V High School,Y45A,2014
12X248,The Metropolitan High School,X77R,2014
12X251,Explorations Academy,X08R,2014
12X267,Bronx Latin,Y35A,2014
12X271,East Bronx Academy for the Future,X83X,2014
12X278,Peace and Diversity Academy,X84X,2014
12X372,Urban Assembly School for Wildlife Conservation,Y38A,2014
12X388,Pan American International High School at Monroe,Y26A,2014
12X478,The Cinema School,Y42A,2014
12X479,Bronx Career and College Preparatory High School,Y43A,2014
12X511,Bronx Envision,Y54A,2014
12X521,The Metropolitan Soundview High School,Y55A,2014
12X682,Fannie Lou Hamer Freedom High School,X91A,2014
12X684,Academy For Excellence,X93A,2014
12X684,Dance,X93P,2014
12X692,Monroe Academy of Visual Design,X75A,2014
13K265,Visual Arts,K42A,2014
